utt,utt_id,split,method,si_sdr,stoi
127389__acclivity__thetimehascome.wav,127389__acclivity__thetimehascome,train,noisy,-13.787653359086478,0.9170176832652875
156550__acclivity__a-dream-within-a-dream.wav,156550__acclivity__a-dream-within-a-dream,train,noisy,-26.369501907339377,0.6818529368075678
165187__blaukreuz__global-village-hochdeutsch.wav,165187__blaukreuz__global-village-hochdeutsch,valid,noisy,-16.745766708387542,0.8984421522550226
167554__speedenza__memory-eva-gore-booth.wav,167554__speedenza__memory-eva-gore-booth,test,noisy,-36.376372078836866,0.8328657849852669
34210__acclivity__i-am-female.wav,34210__acclivity__i-am-female,valid,noisy,-48.55237883635729,0.2993158397469281
352762__kennysvoice__audiokingsz-illusion.wav,352762__kennysvoice__audiokingsz-illusion,train,noisy,-16.03324977853335,0.9402346998963993
382326__scott-simpson__crossing-the-bar.wav,382326__scott-simpson__crossing-the-bar,test,noisy,-14.595203756378712,0.8482989102124143
72001__corsica-s__electric-masquerade.wav,72001__corsica-s__electric-masquerade,train,noisy,-3.5547414820124885,0.8365350649463802
75064__corsica-s__farah-faucet.wav,75064__corsica-s__farah-faucet,train,noisy,-9.635685269388688,0.9337282851328674
127389__acclivity__thetimehascome.wav,127389__acclivity__thetimehascome,train,ss,-13.771117382636628,0.9173670080843405
156550__acclivity__a-dream-within-a-dream.wav,156550__acclivity__a-dream-within-a-dream,train,ss,-26.38175205546188,0.6820306519488795
165187__blaukreuz__global-village-hochdeutsch.wav,165187__blaukreuz__global-village-hochdeutsch,valid,ss,-16.7449741114688,0.8985014378706314
167554__speedenza__memory-eva-gore-booth.wav,167554__speedenza__memory-eva-gore-booth,test,ss,-36.51351425198265,0.8337046746324868
34210__acclivity__i-am-female.wav,34210__acclivity__i-am-female,valid,ss,-48.55161361375552,0.2992516980940222
352762__kennysvoice__audiokingsz-illusion.wav,352762__kennysvoice__audiokingsz-illusion,train,ss,-16.033011780109945,0.9402441115102934
382326__scott-simpson__crossing-the-bar.wav,382326__scott-simpson__crossing-the-bar,test,ss,-14.595001088843203,0.8483299638447251
72001__corsica-s__electric-masquerade.wav,72001__corsica-s__electric-masquerade,train,ss,-3.5549719389946057,0.8377547400240304
75064__corsica-s__farah-faucet.wav,75064__corsica-s__farah-faucet,train,ss,-9.635560121204806,0.9337330490280505
127389__acclivity__thetimehascome.wav,127389__acclivity__thetimehascome,train,wiener,-13.785899039577675,0.9139983401211088
156550__acclivity__a-dream-within-a-dream.wav,156550__acclivity__a-dream-within-a-dream,train,wiener,-26.369324179745348,0.6713747807484532
165187__blaukreuz__global-village-hochdeutsch.wav,165187__blaukreuz__global-village-hochdeutsch,valid,wiener,-16.745031877836702,0.8978623664051202
167554__speedenza__memory-eva-gore-booth.wav,167554__speedenza__memory-eva-gore-booth,test,wiener,-36.38259986534119,0.8304235253571027
34210__acclivity__i-am-female.wav,34210__acclivity__i-am-female,valid,wiener,-48.55175256972671,0.2952434059549599
352762__kennysvoice__audiokingsz-illusion.wav,352762__kennysvoice__audiokingsz-illusion,train,wiener,-16.032540202770132,0.9401318441277113
382326__scott-simpson__crossing-the-bar.wav,382326__scott-simpson__crossing-the-bar,test,wiener,-14.594159007779899,0.8476681710961282
72001__corsica-s__electric-masquerade.wav,72001__corsica-s__electric-masquerade,train,wiener,-3.5535883494569425,0.8343407094208102
75064__corsica-s__farah-faucet.wav,75064__corsica-s__farah-faucet,train,wiener,-9.63532951209742,0.9332245037781207
167554__speedenza__memory-eva-gore-booth.wav,167554__speedenza__memory-eva-gore-booth,test,tiny_unet,-36.66109899259409,0.8330150602766245
382326__scott-simpson__crossing-the-bar.wav,382326__scott-simpson__crossing-the-bar,test,tiny_unet,-14.619307827572625,0.8484755172787306
